F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,Class
0.306250524,1.227178632,-0.590406411,-0.843587561,1.158658194,-2.609219264,-2.361602901,-1.207631215,-0.677193007,1.009508343,2
1.515725171,-0.204144956,-2.258347532,0.945892183,-2.120108178,-0.304811119,1.455660479,0.785202646,-1.15750764,2.526830492,1
-1.389025703,0.115669717,0.245704896,0.225163027,0.84001767,-0.671928179,-1.570313081,-1.382368003,0.06850755,0.944926873,0
-0.740550581,-0.259994206,-1.146410095,-1.039869547,-2.867486681,-1.386471586,0.10118738,0.897932717,-0.735514719,2.477461409,1
-0.927936744,0.938241305,-0.054460185,1.453347182,1.140367419,0.9069495,-1.237445067,1.130819797,1.5849826,0.848552949,0
-0.845490787,0.523313524,0.024002917,-0.256763356,0.582080274,-1.929182366,0.206410234,0.618009113,-0.855442084,0.03350459,2
-2.017385081,-1.525697523,-0.424317153,2.015014506,0.896737371,1.601988213,0.459767218,0.445051923,-0.669996591,-3.160136997,0
0.922899507,0.426138414,2.052231342,-1.892228797,-1.632268616,0.076086106,-1.253755582,0.241698281,1.288818388,-1.911270737,2
0.48221427,2.396652847,1.381954366,-0.574799283,-1.606294073,-0.931505538,0.492895309,-0.742972228,0.229339385,-1.932527795,2
0.346297918,2.164214234,-0.205294335,-0.889247893,2.534432837,-2.318731029,-0.177882463,0.190644688,0.699974843,0.929761382,2
0.918546121,-0.011081889,-1.049625588,1.329507098,2.3088566,1.965574381,-0.008091599,0.549306712,1.972574515,0.651738119,0
-0.25590753,1.852227742,0.62374152,-0.237765576,2.34750895,-2.155041044,-0.517036102,-0.457419801,-0.285571723,0.375148633,2
-0.30339923,-0.061196014,-1.466498336,0.785104047,1.928459762,0.826178511,-0.046923211,0.695529692,0.08577713,1.210874247,0
-0.840728004,-0.64065864,-1.559136415,1.350577487,0.055852163,2.955023662,0.036037087,0.013954498,2.431748457,-0.715565382,0
-0.250637259,0.23750366,0.038510056,1.173125523,0.680947432,-0.675594579,-0.190532049,-0.140441942,0.443546623,-1.039709024,0
-0.209672216,0.261314522,-2.331912393,-1.499693964,0.220141335,0.733990324,0.886574877,-0.584484286,1.18457074,1.498396404,2
